p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),OT
998.9,5.88,279.13,-1.7,58.09,9.28,5.39,3.89,3.36,438.9
998.87,5.71,278.96,-1.41,60.07,9.17,5.51,3.66,3.44,437.7
998.81,5.91,279.17,-1.26,59.87,9.3,5.57,3.73,3.47,436.4
998.71,5.7,278.97,-1.26,60.77,9.17,5.57,3.6,3.48,436.8
998.69,5.41,278.68,-1.36,61.54,8.98,5.53,3.46,3.45,434.5
998.65,5.66,278.92,-1.42,60.22,9.14,5.5,3.63,3.43,432.3
998.66,5.77,279.04,-1.39,59.89,9.21,5.52,3.69,3.44,432.3
998.66,5.61,278.87,-1.28,61.08,9.11,5.56,3.54,3.47,434.5
998.75,5.47,278.73,-1.25,61.8,9.02,5.57,3.44,3.48,434.5
998.82,5.49,278.74,-1.25,61.73,9.03,5.57,3.46,3.48,434.5
998.94,4.96,278.21,-1.33,63.64,8.71,5.54,3.17,3.46,435.9
998.97,4.28,277.52,-1.39,66.44,8.3,5.51,2.78,3.44,437.8
999.12,3.69,276.92,-1.51,68.68,7.96,5.47,2.49,3.41,438.2
999.13,3.36,276.59,-1.55,70.1,7.78,5.45,2.33,3.4,437.9
999.28,3.25,276.47,-1.67,69.98,7.72,5.4,2.32,3.37,436.7
999.39,3.18,276.39,-1.88,69.27,7.68,5.32,2.36,3.32,437.5
999.44,3.06,276.26,-1.76,70.5,7.61,5.37,2.25,3.35,441.1
999.45,2.88,276.08,-1.99,70.2,7.52,5.28,2.24,3.29,441.2
999.51,2.61,275.81,-2.04,71.3,7.37,5.26,2.12,3.28,441.6
999.52,2.32,275.52,-2.13,72.3,7.22,5.22,2.0,3.26,440.9
999.59,1.91,275.1,-2.14,74.4,7.01,5.22,1.8,3.25,439.9
999.56,1.42,274.62,-2.31,76.1,6.77,5.15,1.62,3.21,440.2
999.58,1.41,274.6,-2.17,77.0,6.76,5.21,1.56,3.25,439.9
999.58,1.41,274.6,-2.28,76.3,6.77,5.16,1.6,3.22,441.2
999.68,1.12,274.3,-2.41,77.2,6.62,5.11,1.51,3.19,444.7
999.67,1.16,274.35,-2.35,77.3,6.65,5.14,1.51,3.2,445.8
999.71,0.91,274.09,-2.49,77.9,6.52,5.08,1.44,3.17,448.9
999.83,0.62,273.79,-2.6,78.9,6.39,5.04,1.35,3.14,449.5
999.98,0.15,273.32,-2.8,80.4,6.18,4.97,1.21,3.09,447.1
999.99,-0.08,273.08,-2.82,81.7,6.07,4.96,1.11,3.09,449.3
1000.07,-0.22,272.93,-2.83,82.5,6.01,4.96,1.05,3.09,447.5
1000.11,-0.25,272.91,-2.86,82.4,6.0,4.94,1.06,3.08,450.5
1000.05,-0.47,272.69,-2.99,83.0,5.9,4.9,1.0,3.05,447.8
1000.04,-0.46,272.7,-2.93,83.3,5.91,4.92,0.99,3.07,441.5
1000.14,-0.71,272.44,-3.03,84.2,5.8,4.88,0.92,3.04,441.3
1000.08,-0.29,272.86,-2.67,83.9,5.98,5.02,0.96,3.13,437.6
1000.15,-0.36,272.79,-2.78,83.6,5.95,4.98,0.98,3.1,444.3
1000.06,-0.52,272.63,-2.88,84.0,5.88,4.94,0.94,3.08,446.7
1000.02,-0.56,272.6,-2.85,84.4,5.86,4.95,0.91,3.08,448.3
999.93,-0.53,272.63,-2.81,84.5,5.87,4.96,0.91,3.09,448.9
999.81,-0.59,272.59,-2.83,84.7,5.85,4.96,0.9,3.09,449.2
999.7,-0.49,272.7,-2.67,85.1,5.89,5.02,0.88,3.13,448.1
999.58,-0.42,272.77,-2.6,85.1,5.92,5.04,0.88,3.14,447.2
999.54,-0.19,273.0,-2.41,84.9,6.02,5.11,0.91,3.19,445.8
999.54,-0.07,273.13,-2.34,84.6,6.08,5.14,0.94,3.21,444.9
999.51,-0.01,273.18,-2.24,84.9,6.1,5.18,0.92,3.23,443.9
999.34,0.06,273.27,-2.12,85.2,6.14,5.23,0.91,3.26,442.9
999.17,0.09,273.31,-2.07,85.3,6.15,5.24,0.9,3.27,441.9
999.05,0.33,273.57,-1.87,85.1,6.26,5.32,0.93,3.32,438.9
998.96,0.47,273.71,-1.86,84.3,6.32,5.33,0.99,3.32,437.7
998.84,0.35,273.6,-1.93,84.6,6.26,5.3,0.96,3.31,439.0
998.69,0.22,273.48,-1.93,85.4,6.21,5.3,0.91,3.31,439.0
998.56,0.26,273.54,-1.87,85.5,6.23,5.32,0.9,3.32,438.6
998.56,0.25,273.52,-1.85,85.7,6.22,5.33,0.89,3.33,439.4
998.55,0.46,273.74,-1.61,85.9,6.32,5.43,0.89,3.39,436.1
998.66,0.74,274.0,-1.42,85.4,6.44,5.5,0.94,3.43,435.0
998.68,0.79,274.05,-1.45,84.9,6.47,5.49,0.98,3.43,435.9
998.59,0.72,273.99,-1.46,85.2,6.44,5.49,0.95,3.42,436.9
998.53,0.75,274.03,-1.36,85.7,6.45,5.53,0.92,3.45,437.0
998.45,0.88,274.16,-1.22,85.8,6.51,5.59,0.92,3.49,434.9
998.39,0.93,274.21,-1.14,86.0,6.53,5.62,0.91,3.51,436.4
998.25,0.88,274.17,-1.2,85.9,6.51,5.59,0.92,3.49,437.0
998.07,0.69,274.0,-1.28,86.6,6.42,5.56,0.86,3.47,436.4
997.99,0.74,274.06,-1.14,87.2,6.44,5.62,0.82,3.51,435.2
998.01,0.92,274.24,-0.91,87.5,6.53,5.71,0.82,3.57,433.5
997.93,1.42,274.74,-0.56,86.6,6.77,5.86,0.91,3.66,433.3
997.77,1.67,275.01,-0.4,86.0,6.9,5.93,0.97,3.7,432.2
997.67,1.9,275.24,-0.28,85.4,7.01,5.98,1.02,3.74,431.2
997.57,1.99,275.34,-0.25,85.0,7.05,6.0,1.06,3.75,430.9
997.41,2.01,275.38,-0.23,85.0,7.06,6.0,1.06,3.75,430.3
997.26,2.08,275.45,-0.19,84.9,7.1,6.02,1.07,3.77,430.2
997.14,1.96,275.34,-0.27,85.1,7.04,5.99,1.05,3.74,431.1
997.01,1.78,275.17,-0.33,85.8,6.95,5.96,0.99,3.73,431.2
997.04,1.63,275.03,-0.37,86.5,6.88,5.95,0.93,3.72,431.3
996.96,1.54,274.94,-0.42,86.7,6.83,5.92,0.91,3.7,431.4
996.86,1.57,274.98,-0.32,87.2,6.84,5.97,0.88,3.73,430.5
996.71,1.74,275.16,-0.24,86.6,6.93,6.0,0.93,3.75,430.2
996.73,1.92,275.34,-0.02,86.9,7.02,6.1,0.92,3.82,429.6
996.59,2.38,275.8,0.19,85.4,7.25,6.19,1.06,3.87,428.8
996.44,2.65,276.09,0.41,85.1,7.4,6.29,1.1,3.94,428.4
996.37,2.95,276.4,0.57,84.3,7.55,6.37,1.19,3.98,427.5
996.32,3.07,276.52,0.64,84.0,7.62,6.4,1.22,4.01,427.9
996.26,3.25,276.7,0.76,83.7,7.71,6.46,1.26,4.04,428.1
996.14,3.05,276.52,0.54,83.5,7.61,6.35,1.26,3.98,429.2
996.12,2.87,276.33,0.54,84.6,7.51,6.35,1.16,3.98,429.4
996.04,2.84,276.31,0.53,84.7,7.49,6.35,1.15,3.97,430.2
995.89,2.9,276.39,0.66,85.1,7.53,6.41,1.12,4.01,430.1
995.81,2.95,276.44,0.71,85.1,7.55,6.43,1.13,4.03,430.7
995.67,3.14,276.64,0.88,85.1,7.65,6.51,1.14,4.08,430.6
995.58,3.26,276.77,0.97,84.9,7.72,6.56,1.17,4.11,430.4
995.53,3.27,276.79,0.99,84.9,7.73,6.56,1.17,4.11,430.9
995.54,3.27,276.78,1.0,85.0,7.73,6.57,1.16,4.11,431.1
995.5,3.11,276.63,0.76,84.5,7.64,6.46,1.18,4.04,432.0
995.45,2.5,276.02,0.39,85.9,7.31,6.28,1.03,3.93,433.8
995.42,2.32,275.84,0.39,87.0,7.22,6.28,0.94,3.93,433.9
995.36,2.33,275.85,0.44,87.3,7.23,6.31,0.92,3.95,434.1
995.35,2.44,275.96,0.54,87.2,7.28,6.35,0.93,3.98,433.9
995.33,2.57,276.1,0.52,86.3,7.35,6.34,1.01,3.97,433.5
995.27,2.62,276.16,0.48,85.7,7.38,6.33,1.06,3.96,433.1
995.2,2.67,276.21,0.48,85.4,7.4,6.32,1.08,3.96,433.1
